2026-07-03 20:50:29,069 | INFO | 💾 บันทึกข้อมูล -> data/20260703_205029.csv
2026-07-03 20:50:29,592 | INFO | จำนวนข้อมูลทั้งหมด 1778 แถว
2026-07-03 20:50:29,592 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-03 20:50:29,598 | INFO | โหลดโมเดลสำเร็จ
2026-07-03 20:50:29,625 | INFO | 
2026-07-03 20:50:29,625 | INFO | ========== Prediction ==========
2026-07-03 20:50:29,625 | INFO | Signal      : 🟢 BUY
2026-07-03 20:50:29,625 | INFO | Confidence  : 53.21%
2026-07-03 20:50:29,626 | INFO | ===============================
2026-07-03 20:50:29,626 | INFO | Confidence Filter : ⚪ NO TRADE (53.21%)
2026-07-03 20:53:42,059 | INFO | เริ่มต้นโปรแกรม
2026-07-03 20:53:42,060 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-03 20:53:42,831 | INFO | โหลดสำเร็จ (1827 แถว)
2026-07-03 20:53:42,844 | INFO | 💾 บันทึกข้อมูล -> data/20260703_205342.csv
2026-07-03 20:53:43,353 | INFO | จำนวนข้อมูลทั้งหมด 1778 แถว
2026-07-03 20:53:43,353 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-03 20:53:43,362 | INFO | โหลดโมเดลสำเร็จ
2026-07-03 20:53:43,389 | INFO | 
2026-07-03 20:53:43,391 | INFO | ========== Prediction ==========
2026-07-03 20:53:43,391 | INFO | Signal      : 🟢 BUY
2026-07-03 20:53:43,391 | INFO | Confidence  : 55.15%
2026-07-03 20:53:43,391 | INFO | ===============================
2026-07-03 20:53:43,391 | INFO | Confidence Filter : ⚪ NO TRADE (55.15%)
2026-07-03 20:59:12,222 | INFO | เริ่มต้นโปรแกรม
2026-07-03 20:59:12,223 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-03 20:59:12,970 | INFO | โหลดสำเร็จ (1827 แถว)
2026-07-03 20:59:12,983 | INFO | 💾 บันทึกข้อมูล -> data/20260703_205912.csv
2026-07-03 20:59:13,513 | INFO | จำนวนข้อมูลทั้งหมด 1778 แถว
2026-07-03 20:59:13,514 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-03 20:59:13,520 | INFO | โหลดโมเดลสำเร็จ
2026-07-03 20:59:13,546 | INFO | 
2026-07-03 20:59:13,546 | INFO | ========== Prediction ==========
2026-07-03 20:59:13,546 | INFO | Signal      : 🟢 BUY
2026-07-03 20:59:13,546 | INFO | Confidence  : 53.21%
2026-07-03 20:59:13,546 | INFO | ===============================
